nohup: ignoring input
--- input variables ---
model path : results/variable_0/loss_0.0452_acc_65.51%_epoch_11.pt
learning rate : 0.010000
image size : 256
batch size : 32
epochs : 100
use cuda device : cuda:0
data root path : /HDD2/image_net/ILSVRC/Data/CLS-LOC/
class name path : /HDD2/image_net/LOC_synset_mapping.txt
Train Epoch 1 | [64/732000 (0.01%)] Loss 0.0116, Accuaracy 76.56%
Train Epoch 28 | [217664/732000 (29.74%)] Loss 0.0042, Accuaracy 91.71%
Train Epoch 28 | [230464/732000 (31.48%)] Loss 0.0042, Accuaracy 91.69%
Train Epoch 28 | [243264/732000 (33.23%)] Loss 0.0042, Accuaracy 91.66%
Train Epoch 28 | [256064/732000 (34.98%)] Loss 0.0042, Accuaracy 91.62%
Train Epoch 28 | [268864/732000 (36.73%)] Loss 0.0042, Accuaracy 91.58%
Train Epoch 28 | [281664/732000 (38.48%)] Loss 0.0042, Accuaracy 91.54%
Train Epoch 28 | [294464/732000 (40.23%)] Loss 0.0042, Accuaracy 91.51%
Train Epoch 28 | [307264/732000 (41.98%)] Loss 0.0042, Accuaracy 91.49%
Train Epoch 28 | [320064/732000 (43.72%)] Loss 0.0043, Accuaracy 91.46%
Train Epoch 28 | [332864/732000 (45.47%)] Loss 0.0043, Accuaracy 91.44%
Train Epoch 28 | [345664/732000 (47.22%)] Loss 0.0043, Accuaracy 91.42%
Train Epoch 28 | [358464/732000 (48.97%)] Loss 0.0043, Accuaracy 91.40%
Train Epoch 28 | [371264/732000 (50.72%)] Loss 0.0043, Accuaracy 91.37%
Train Epoch 28 | [384064/732000 (52.47%)] Loss 0.0043, Accuaracy 91.36%
Train Epoch 28 | [396864/732000 (54.22%)] Loss 0.0043, Accuaracy 91.34%
Train Epoch 28 | [409664/732000 (55.97%)] Loss 0.0043, Accuaracy 91.32%
Train Epoch 28 | [422464/732000 (57.71%)] Loss 0.0043, Accuaracy 91.30%
Train Epoch 28 | [435264/732000 (59.46%)] Loss 0.0043, Accuaracy 91.29%
Train Epoch 28 | [448064/732000 (61.21%)] Loss 0.0043, Accuaracy 91.28%
Train Epoch 28 | [460864/732000 (62.96%)] Loss 0.0044, Accuaracy 91.27%
Train Epoch 28 | [473664/732000 (64.71%)] Loss 0.0044, Accuaracy 91.25%
Train Epoch 28 | [486464/732000 (66.46%)] Loss 0.0044, Accuaracy 91.23%
Train Epoch 28 | [499264/732000 (68.21%)] Loss 0.0044, Accuaracy 91.23%
Train Epoch 28 | [512064/732000 (69.95%)] Loss 0.0044, Accuaracy 91.21%
Train Epoch 28 | [524864/732000 (71.70%)] Loss 0.0044, Accuaracy 91.19%
Train Epoch 28 | [537664/732000 (73.45%)] Loss 0.0044, Accuaracy 91.15%
Train Epoch 28 | [550464/732000 (75.20%)] Loss 0.0044, Accuaracy 91.13%
Train Epoch 28 | [563264/732000 (76.95%)] Loss 0.0044, Accuaracy 91.10%
Train Epoch 28 | [576064/732000 (78.70%)] Loss 0.0044, Accuaracy 91.08%
Train Epoch 28 | [588864/732000 (80.45%)] Loss 0.0045, Accuaracy 91.07%
Train Epoch 28 | [601664/732000 (82.19%)] Loss 0.0045, Accuaracy 91.05%
Train Epoch 28 | [614464/732000 (83.94%)] Loss 0.0045, Accuaracy 91.05%
Train Epoch 28 | [627264/732000 (85.69%)] Loss 0.0045, Accuaracy 91.02%
Train Epoch 28 | [640064/732000 (87.44%)] Loss 0.0045, Accuaracy 91.00%
Train Epoch 28 | [652864/732000 (89.19%)] Loss 0.0045, Accuaracy 90.98%
Train Epoch 28 | [665664/732000 (90.94%)] Loss 0.0045, Accuaracy 90.97%
Train Epoch 28 | [678464/732000 (92.69%)] Loss 0.0045, Accuaracy 90.95%
Train Epoch 28 | [691264/732000 (94.43%)] Loss 0.0045, Accuaracy 90.93%
Train Epoch 28 | [704064/732000 (96.18%)] Loss 0.0045, Accuaracy 90.92%
Train Epoch 28 | [716864/732000 (97.93%)] Loss 0.0045, Accuaracy 90.90%
Train Epoch 28 | [729664/732000 (99.68%)] Loss 0.0045, Accuaracy 90.89%
Train Epoch 28 | Avarage Loss 0.0045, Average Accuracy 90.88%
Valid Epoch 28 | [32/50000 (0.06%)] Loss 0.0860, Accuaracy 56.25%
Valid Epoch 28 | [1632/50000 (3.26%)] Loss 0.0571, Accuaracy 68.08%
Valid Epoch 28 | [3232/50000 (6.46%)] Loss 0.0590, Accuaracy 67.48%
Valid Epoch 28 | [4832/50000 (9.66%)] Loss 0.0613, Accuaracy 66.93%
Valid Epoch 28 | [6432/50000 (12.86%)] Loss 0.0610, Accuaracy 66.87%
Valid Epoch 28 | [8032/50000 (16.06%)] Loss 0.0614, Accuaracy 66.52%
Valid Epoch 28 | [9632/50000 (19.26%)] Loss 0.0612, Accuaracy 66.60%
Valid Epoch 28 | [11232/50000 (22.46%)] Loss 0.0610, Accuaracy 66.67%
Valid Epoch 28 | [12832/50000 (25.66%)] Loss 0.0610, Accuaracy 66.75%
Valid Epoch 28 | [14432/50000 (28.86%)] Loss 0.0608, Accuaracy 66.71%
Valid Epoch 28 | [16032/50000 (32.06%)] Loss 0.0609, Accuaracy 66.59%
Valid Epoch 28 | [17632/50000 (35.26%)] Loss 0.0608, Accuaracy 66.65%
Valid Epoch 28 | [19232/50000 (38.46%)] Loss 0.0607, Accuaracy 66.55%
Valid Epoch 28 | [20832/50000 (41.66%)] Loss 0.0606, Accuaracy 66.62%
Valid Epoch 28 | [22432/50000 (44.86%)] Loss 0.0606, Accuaracy 66.61%
Valid Epoch 28 | [24032/50000 (48.06%)] Loss 0.0607, Accuaracy 66.63%
Valid Epoch 28 | [25632/50000 (51.26%)] Loss 0.0603, Accuaracy 66.62%
Valid Epoch 28 | [27232/50000 (54.46%)] Loss 0.0604, Accuaracy 66.65%
Valid Epoch 28 | [28832/50000 (57.66%)] Loss 0.0607, Accuaracy 66.54%
Valid Epoch 28 | [30432/50000 (60.86%)] Loss 0.0608, Accuaracy 66.55%
Valid Epoch 28 | [32032/50000 (64.06%)] Loss 0.0605, Accuaracy 66.58%
Valid Epoch 28 | [33632/50000 (67.26%)] Loss 0.0601, Accuaracy 66.64%
Valid Epoch 28 | [35232/50000 (70.46%)] Loss 0.0599, Accuaracy 66.68%
Valid Epoch 28 | [36832/50000 (73.66%)] Loss 0.0600, Accuaracy 66.63%
Valid Epoch 28 | [38432/50000 (76.86%)] Loss 0.0600, Accuaracy 66.64%
Valid Epoch 28 | [40032/50000 (80.06%)] Loss 0.0600, Accuaracy 66.69%
Valid Epoch 28 | [41632/50000 (83.26%)] Loss 0.0601, Accuaracy 66.62%
Valid Epoch 28 | [43232/50000 (86.46%)] Loss 0.0602, Accuaracy 66.56%
Valid Epoch 28 | [44832/50000 (89.66%)] Loss 0.0604, Accuaracy 66.58%
Valid Epoch 28 | [46432/50000 (92.86%)] Loss 0.0603, Accuaracy 66.63%
Valid Epoch 28 | [48032/50000 (96.06%)] Loss 0.0604, Accuaracy 66.60%
Valid Epoch 28 | [49632/50000 (99.26%)] Loss 0.0603, Accuaracy 66.60%
Valid Epoch 28 | Avarage Loss 0.0603, Average Accuracy 66.58%
Train Epoch 29 | [64/732000 (0.01%)] Loss 0.0049, Accuaracy 93.75%
Train Epoch 29 | [12864/732000 (1.76%)] Loss 0.0037, Accuaracy 92.53%
Train Epoch 29 | [25664/732000 (3.51%)] Loss 0.0037, Accuaracy 92.59%
Train Epoch 29 | [38464/732000 (5.25%)] Loss 0.0037, Accuaracy 92.55%
Train Epoch 29 | [51264/732000 (7.00%)] Loss 0.0036, Accuaracy 92.64%
Train Epoch 29 | [64064/732000 (8.75%)] Loss 0.0037, Accuaracy 92.64%
Train Epoch 29 | [76864/732000 (10.50%)] Loss 0.0037, Accuaracy 92.55%
Train Epoch 29 | [89664/732000 (12.25%)] Loss 0.0037, Accuaracy 92.50%
Train Epoch 29 | [102464/732000 (14.00%)] Loss 0.0037, Accuaracy 92.49%
Train Epoch 29 | [115264/732000 (15.75%)] Loss 0.0038, Accuaracy 92.47%
Train Epoch 29 | [128064/732000 (17.50%)] Loss 0.0038, Accuaracy 92.42%
Train Epoch 29 | [140864/732000 (19.24%)] Loss 0.0038, Accuaracy 92.39%
Train Epoch 29 | [153664/732000 (20.99%)] Loss 0.0038, Accuaracy 92.34%
Train Epoch 29 | [166464/732000 (22.74%)] Loss 0.0038, Accuaracy 92.30%
Train Epoch 29 | [179264/732000 (24.49%)] Loss 0.0039, Accuaracy 92.27%
Train Epoch 29 | [192064/732000 (26.24%)] Loss 0.0039, Accuaracy 92.23%
Train Epoch 29 | [204864/732000 (27.99%)] Loss 0.0039, Accuaracy 92.19%
Train Epoch 29 | [217664/732000 (29.74%)] Loss 0.0039, Accuaracy 92.12%
Train Epoch 29 | [230464/732000 (31.48%)] Loss 0.0039, Accuaracy 92.08%
Train Epoch 29 | [243264/732000 (33.23%)] Loss 0.0040, Accuaracy 92.05%
Train Epoch 29 | [256064/732000 (34.98%)] Loss 0.0040, Accuaracy 92.03%
Train Epoch 29 | [268864/732000 (36.73%)] Loss 0.0040, Accuaracy 92.02%
Train Epoch 29 | [281664/732000 (38.48%)] Loss 0.0040, Accuaracy 91.99%
Train Epoch 29 | [294464/732000 (40.23%)] Loss 0.0040, Accuaracy 91.96%
Train Epoch 29 | [307264/732000 (41.98%)] Loss 0.0040, Accuaracy 91.92%
Train Epoch 29 | [320064/732000 (43.72%)] Loss 0.0040, Accuaracy 91.90%
Train Epoch 29 | [332864/732000 (45.47%)] Loss 0.0040, Accuaracy 91.87%
Train Epoch 29 | [345664/732000 (47.22%)] Loss 0.0041, Accuaracy 91.85%
Train Epoch 29 | [358464/732000 (48.97%)] Loss 0.0041, Accuaracy 91.83%
Train Epoch 29 | [371264/732000 (50.72%)] Loss 0.0041, Accuaracy 91.81%
Train Epoch 29 | [384064/732000 (52.47%)] Loss 0.0041, Accuaracy 91.78%
Train Epoch 29 | [396864/732000 (54.22%)] Loss 0.0041, Accuaracy 91.75%
Train Epoch 29 | [409664/732000 (55.97%)] Loss 0.0041, Accuaracy 91.73%
Train Epoch 29 | [422464/732000 (57.71%)] Loss 0.0041, Accuaracy 91.70%
Train Epoch 29 | [435264/732000 (59.46%)] Loss 0.0041, Accuaracy 91.69%
Train Epoch 29 | [448064/732000 (61.21%)] Loss 0.0041, Accuaracy 91.65%
Train Epoch 29 | [460864/732000 (62.96%)] Loss 0.0041, Accuaracy 91.64%
Train Epoch 29 | [473664/732000 (64.71%)] Loss 0.0042, Accuaracy 91.63%
Train Epoch 29 | [486464/732000 (66.46%)] Loss 0.0042, Accuaracy 91.62%
Train Epoch 29 | [499264/732000 (68.21%)] Loss 0.0042, Accuaracy 91.60%
Train Epoch 29 | [512064/732000 (69.95%)] Loss 0.0042, Accuaracy 91.57%
Train Epoch 29 | [524864/732000 (71.70%)] Loss 0.0042, Accuaracy 91.56%
Train Epoch 29 | [537664/732000 (73.45%)] Loss 0.0042, Accuaracy 91.55%
Train Epoch 29 | [550464/732000 (75.20%)] Loss 0.0042, Accuaracy 91.52%
Train Epoch 29 | [563264/732000 (76.95%)] Loss 0.0042, Accuaracy 91.51%
Train Epoch 29 | [576064/732000 (78.70%)] Loss 0.0042, Accuaracy 91.49%
Train Epoch 29 | [588864/732000 (80.45%)] Loss 0.0042, Accuaracy 91.47%
Train Epoch 29 | [601664/732000 (82.19%)] Loss 0.0042, Accuaracy 91.46%
Train Epoch 29 | [614464/732000 (83.94%)] Loss 0.0043, Accuaracy 91.44%
Train Epoch 29 | [627264/732000 (85.69%)] Loss 0.0043, Accuaracy 91.42%
Train Epoch 29 | [640064/732000 (87.44%)] Loss 0.0043, Accuaracy 91.40%
Train Epoch 29 | [652864/732000 (89.19%)] Loss 0.0043, Accuaracy 91.39%
Train Epoch 29 | [665664/732000 (90.94%)] Loss 0.0043, Accuaracy 91.37%
Train Epoch 29 | [678464/732000 (92.69%)] Loss 0.0043, Accuaracy 91.36%
Train Epoch 29 | [691264/732000 (94.43%)] Loss 0.0043, Accuaracy 91.33%
Train Epoch 29 | [704064/732000 (96.18%)] Loss 0.0043, Accuaracy 91.31%
Train Epoch 29 | [716864/732000 (97.93%)] Loss 0.0043, Accuaracy 91.29%
Train Epoch 29 | [729664/732000 (99.68%)] Loss 0.0043, Accuaracy 91.28%
Train Epoch 29 | Avarage Loss 0.0043, Average Accuracy 91.28%
Valid Epoch 29 | [32/50000 (0.06%)] Loss 0.0507, Accuaracy 68.75%
Valid Epoch 29 | [1632/50000 (3.26%)] Loss 0.0596, Accuaracy 68.44%
Valid Epoch 29 | [3232/50000 (6.46%)] Loss 0.0622, Accuaracy 67.05%
Valid Epoch 29 | [4832/50000 (9.66%)] Loss 0.0625, Accuaracy 67.07%
Valid Epoch 29 | [6432/50000 (12.86%)] Loss 0.0612, Accuaracy 67.30%
Valid Epoch 29 | [8032/50000 (16.06%)] Loss 0.0613, Accuaracy 67.23%
Valid Epoch 29 | [9632/50000 (19.26%)] Loss 0.0611, Accuaracy 67.04%
Valid Epoch 29 | [11232/50000 (22.46%)] Loss 0.0612, Accuaracy 66.83%
Valid Epoch 29 | [12832/50000 (25.66%)] Loss 0.0605, Accuaracy 67.03%
Valid Epoch 29 | [14432/50000 (28.86%)] Loss 0.0605, Accuaracy 67.03%
Valid Epoch 29 | [16032/50000 (32.06%)] Loss 0.0602, Accuaracy 67.06%
Valid Epoch 29 | [17632/50000 (35.26%)] Loss 0.0606, Accuaracy 66.94%
Valid Epoch 29 | [19232/50000 (38.46%)] Loss 0.0606, Accuaracy 66.99%
Valid Epoch 29 | [20832/50000 (41.66%)] Loss 0.0607, Accuaracy 66.95%
Valid Epoch 29 | [22432/50000 (44.86%)] Loss 0.0607, Accuaracy 66.87%
Valid Epoch 29 | [24032/50000 (48.06%)] Loss 0.0602, Accuaracy 66.96%
Valid Epoch 29 | [25632/50000 (51.26%)] Loss 0.0602, Accuaracy 66.94%
Valid Epoch 29 | [27232/50000 (54.46%)] Loss 0.0603, Accuaracy 66.84%
Valid Epoch 29 | [28832/50000 (57.66%)] Loss 0.0602, Accuaracy 66.90%
Valid Epoch 29 | [30432/50000 (60.86%)] Loss 0.0602, Accuaracy 66.92%
Valid Epoch 29 | [32032/50000 (64.06%)] Loss 0.0599, Accuaracy 66.91%
Valid Epoch 29 | [33632/50000 (67.26%)] Loss 0.0600, Accuaracy 66.97%
Valid Epoch 29 | [35232/50000 (70.46%)] Loss 0.0600, Accuaracy 67.01%
Valid Epoch 29 | [36832/50000 (73.66%)] Loss 0.0598, Accuaracy 67.12%
Valid Epoch 29 | [38432/50000 (76.86%)] Loss 0.0599, Accuaracy 67.11%
Valid Epoch 29 | [40032/50000 (80.06%)] Loss 0.0601, Accuaracy 67.15%
Valid Epoch 29 | [41632/50000 (83.26%)] Loss 0.0600, Accuaracy 67.10%
Valid Epoch 29 | [43232/50000 (86.46%)] Loss 0.0600, Accuaracy 67.15%
Valid Epoch 29 | [44832/50000 (89.66%)] Loss 0.0600, Accuaracy 67.08%
Valid Epoch 29 | [46432/50000 (92.86%)] Loss 0.0601, Accuaracy 66.99%
Valid Epoch 29 | [48032/50000 (96.06%)] Loss 0.0601, Accuaracy 67.00%
Valid Epoch 29 | [49632/50000 (99.26%)] Loss 0.0601, Accuaracy 66.99%
Valid Epoch 29 | Avarage Loss 0.0600, Average Accuracy 67.03%
Train Epoch 30 | [64/732000 (0.01%)] Loss 0.0051, Accuaracy 92.19%
Train Epoch 30 | [12864/732000 (1.76%)] Loss 0.0034, Accuaracy 92.96%
Train Epoch 30 | [25664/732000 (3.51%)] Loss 0.0035, Accuaracy 92.85%
Train Epoch 30 | [38464/732000 (5.25%)] Loss 0.0035, Accuaracy 92.78%
Train Epoch 30 | [51264/732000 (7.00%)] Loss 0.0035, Accuaracy 92.82%
Train Epoch 30 | [64064/732000 (8.75%)] Loss 0.0035, Accuaracy 92.85%
Train Epoch 30 | [76864/732000 (10.50%)] Loss 0.0035, Accuaracy 92.80%
Train Epoch 30 | [89664/732000 (12.25%)] Loss 0.0035, Accuaracy 92.83%
Train Epoch 30 | [102464/732000 (14.00%)] Loss 0.0036, Accuaracy 92.79%
Train Epoch 30 | [115264/732000 (15.75%)] Loss 0.0036, Accuaracy 92.73%
Train Epoch 30 | [128064/732000 (17.50%)] Loss 0.0036, Accuaracy 92.66%
Train Epoch 30 | [140864/732000 (19.24%)] Loss 0.0036, Accuaracy 92.66%
Train Epoch 30 | [153664/732000 (20.99%)] Loss 0.0036, Accuaracy 92.63%
Train Epoch 30 | [166464/732000 (22.74%)] Loss 0.0037, Accuaracy 92.57%
Train Epoch 30 | [179264/732000 (24.49%)] Loss 0.0037, Accuaracy 92.54%
Train Epoch 30 | [192064/732000 (26.24%)] Loss 0.0037, Accuaracy 92.51%
Train Epoch 30 | [204864/732000 (27.99%)] Loss 0.0037, Accuaracy 92.44%
Train Epoch 30 | [217664/732000 (29.74%)] Loss 0.0038, Accuaracy 92.43%
Train Epoch 30 | [230464/732000 (31.48%)] Loss 0.0038, Accuaracy 92.40%
Train Epoch 30 | [243264/732000 (33.23%)] Loss 0.0038, Accuaracy 92.38%
Train Epoch 30 | [256064/732000 (34.98%)] Loss 0.0038, Accuaracy 92.33%
Train Epoch 30 | [268864/732000 (36.73%)] Loss 0.0038, Accuaracy 92.29%
Train Epoch 30 | [281664/732000 (38.48%)] Loss 0.0038, Accuaracy 92.27%
Train Epoch 30 | [294464/732000 (40.23%)] Loss 0.0038, Accuaracy 92.24%
Train Epoch 30 | [307264/732000 (41.98%)] Loss 0.0039, Accuaracy 92.20%
Train Epoch 30 | [320064/732000 (43.72%)] Loss 0.0039, Accuaracy 92.16%
Train Epoch 30 | [332864/732000 (45.47%)] Loss 0.0039, Accuaracy 92.13%
Train Epoch 30 | [345664/732000 (47.22%)] Loss 0.0039, Accuaracy 92.13%
Train Epoch 30 | [358464/732000 (48.97%)] Loss 0.0039, Accuaracy 92.10%
Train Epoch 30 | [371264/732000 (50.72%)] Loss 0.0039, Accuaracy 92.07%
Train Epoch 30 | [384064/732000 (52.47%)] Loss 0.0039, Accuaracy 92.05%
Train Epoch 30 | [396864/732000 (54.22%)] Loss 0.0039, Accuaracy 92.04%
Train Epoch 30 | [409664/732000 (55.97%)] Loss 0.0039, Accuaracy 92.00%
Train Epoch 30 | [422464/732000 (57.71%)] Loss 0.0040, Accuaracy 91.97%
Train Epoch 30 | [435264/732000 (59.46%)] Loss 0.0040, Accuaracy 91.95%
Train Epoch 30 | [448064/732000 (61.21%)] Loss 0.0040, Accuaracy 91.93%
Train Epoch 30 | [460864/732000 (62.96%)] Loss 0.0040, Accuaracy 91.90%
Train Epoch 30 | [473664/732000 (64.71%)] Loss 0.0040, Accuaracy 91.87%
Train Epoch 30 | [486464/732000 (66.46%)] Loss 0.0040, Accuaracy 91.84%
Train Epoch 30 | [499264/732000 (68.21%)] Loss 0.0040, Accuaracy 91.83%
Train Epoch 30 | [512064/732000 (69.95%)] Loss 0.0040, Accuaracy 91.81%
Train Epoch 30 | [524864/732000 (71.70%)] Loss 0.0040, Accuaracy 91.80%
Train Epoch 30 | [537664/732000 (73.45%)] Loss 0.0040, Accuaracy 91.78%
Train Epoch 30 | [550464/732000 (75.20%)] Loss 0.0041, Accuaracy 91.77%
Train Epoch 30 | [563264/732000 (76.95%)] Loss 0.0041, Accuaracy 91.74%
Train Epoch 30 | [576064/732000 (78.70%)] Loss 0.0041, Accuaracy 91.72%
Train Epoch 30 | [588864/732000 (80.45%)] Loss 0.0041, Accuaracy 91.72%
Train Epoch 30 | [601664/732000 (82.19%)] Loss 0.0041, Accuaracy 91.70%
Train Epoch 30 | [614464/732000 (83.94%)] Loss 0.0041, Accuaracy 91.69%
Train Epoch 30 | [627264/732000 (85.69%)] Loss 0.0041, Accuaracy 91.68%
Train Epoch 30 | [640064/732000 (87.44%)] Loss 0.0041, Accuaracy 91.67%
Train Epoch 30 | [652864/732000 (89.19%)] Loss 0.0041, Accuaracy 91.65%
Train Epoch 30 | [665664/732000 (90.94%)] Loss 0.0041, Accuaracy 91.64%
Train Epoch 30 | [678464/732000 (92.69%)] Loss 0.0041, Accuaracy 91.62%
Train Epoch 30 | [691264/732000 (94.43%)] Loss 0.0042, Accuaracy 91.60%
Train Epoch 30 | [704064/732000 (96.18%)] Loss 0.0042, Accuaracy 91.58%
Train Epoch 30 | [716864/732000 (97.93%)] Loss 0.0042, Accuaracy 91.56%
Train Epoch 30 | [729664/732000 (99.68%)] Loss 0.0042, Accuaracy 91.56%
Train Epoch 30 | Avarage Loss 0.0042, Average Accuracy 91.56%
Valid Epoch 30 | [32/50000 (0.06%)] Loss 0.1208, Accuaracy 46.88%
Valid Epoch 30 | [1632/50000 (3.26%)] Loss 0.0610, Accuaracy 68.87%
Valid Epoch 30 | [3232/50000 (6.46%)] Loss 0.0616, Accuaracy 67.08%
Valid Epoch 30 | [4832/50000 (9.66%)] Loss 0.0610, Accuaracy 67.20%
Valid Epoch 30 | [6432/50000 (12.86%)] Loss 0.0635, Accuaracy 66.85%
Valid Epoch 30 | [8032/50000 (16.06%)] Loss 0.0638, Accuaracy 66.61%
Valid Epoch 30 | [9632/50000 (19.26%)] Loss 0.0635, Accuaracy 66.62%
Valid Epoch 30 | [11232/50000 (22.46%)] Loss 0.0628, Accuaracy 66.61%
Valid Epoch 30 | [12832/50000 (25.66%)] Loss 0.0626, Accuaracy 66.44%
Valid Epoch 30 | [14432/50000 (28.86%)] Loss 0.0627, Accuaracy 66.38%
Valid Epoch 30 | [16032/50000 (32.06%)] Loss 0.0631, Accuaracy 66.14%
Valid Epoch 30 | [17632/50000 (35.26%)] Loss 0.0631, Accuaracy 66.34%
Valid Epoch 30 | [19232/50000 (38.46%)] Loss 0.0627, Accuaracy 66.46%
Valid Epoch 30 | [20832/50000 (41.66%)] Loss 0.0629, Accuaracy 66.43%
Valid Epoch 30 | [22432/50000 (44.86%)] Loss 0.0629, Accuaracy 66.41%
Valid Epoch 30 | [24032/50000 (48.06%)] Loss 0.0627, Accuaracy 66.49%
Valid Epoch 30 | [25632/50000 (51.26%)] Loss 0.0622, Accuaracy 66.67%
Valid Epoch 30 | [27232/50000 (54.46%)] Loss 0.0621, Accuaracy 66.75%
Valid Epoch 30 | [28832/50000 (57.66%)] Loss 0.0621, Accuaracy 66.76%
Valid Epoch 30 | [30432/50000 (60.86%)] Loss 0.0618, Accuaracy 66.86%
Valid Epoch 30 | [32032/50000 (64.06%)] Loss 0.0621, Accuaracy 66.82%
Valid Epoch 30 | [33632/50000 (67.26%)] Loss 0.0616, Accuaracy 66.91%
Valid Epoch 30 | [35232/50000 (70.46%)] Loss 0.0618, Accuaracy 66.75%
Valid Epoch 30 | [36832/50000 (73.66%)] Loss 0.0619, Accuaracy 66.74%
Valid Epoch 30 | [38432/50000 (76.86%)] Loss 0.0619, Accuaracy 66.70%
Valid Epoch 30 | [40032/50000 (80.06%)] Loss 0.0618, Accuaracy 66.70%
Valid Epoch 30 | [41632/50000 (83.26%)] Loss 0.0621, Accuaracy 66.58%
Valid Epoch 30 | [43232/50000 (86.46%)] Loss 0.0622, Accuaracy 66.51%
Valid Epoch 30 | [44832/50000 (89.66%)] Loss 0.0622, Accuaracy 66.54%
Valid Epoch 30 | [46432/50000 (92.86%)] Loss 0.0620, Accuaracy 66.57%
Valid Epoch 30 | [48032/50000 (96.06%)] Loss 0.0620, Accuaracy 66.58%
Valid Epoch 30 | [49632/50000 (99.26%)] Loss 0.0622, Accuaracy 66.56%
Valid Epoch 30 | Avarage Loss 0.0622, Average Accuracy 66.55%
Train Epoch 31 | [64/732000 (0.01%)] Loss 0.0041, Accuaracy 90.62%
Train Epoch 31 | [12864/732000 (1.76%)] Loss 0.0031, Accuaracy 93.49%
Train Epoch 31 | [25664/732000 (3.51%)] Loss 0.0032, Accuaracy 93.31%
Train Epoch 31 | [38464/732000 (5.25%)] Loss 0.0033, Accuaracy 93.18%
Train Epoch 31 | [51264/732000 (7.00%)] Loss 0.0033, Accuaracy 93.13%
Train Epoch 31 | [64064/732000 (8.75%)] Loss 0.0034, Accuaracy 93.06%
Train Epoch 31 | [76864/732000 (10.50%)] Loss 0.0034, Accuaracy 93.06%
Train Epoch 31 | [89664/732000 (12.25%)] Loss 0.0034, Accuaracy 92.99%
Train Epoch 31 | [102464/732000 (14.00%)] Loss 0.0035, Accuaracy 92.92%
Train Epoch 31 | [115264/732000 (15.75%)] Loss 0.0035, Accuaracy 92.92%
Train Epoch 31 | [128064/732000 (17.50%)] Loss 0.0035, Accuaracy 92.88%
Train Epoch 31 | [140864/732000 (19.24%)] Loss 0.0035, Accuaracy 92.86%
Train Epoch 31 | [153664/732000 (20.99%)] Loss 0.0036, Accuaracy 92.79%
Train Epoch 31 | [166464/732000 (22.74%)] Loss 0.0036, Accuaracy 92.76%
Train Epoch 31 | [179264/732000 (24.49%)] Loss 0.0036, Accuaracy 92.73%
Train Epoch 31 | [192064/732000 (26.24%)] Loss 0.0036, Accuaracy 92.67%
Train Epoch 31 | [204864/732000 (27.99%)] Loss 0.0036, Accuaracy 92.64%
Train Epoch 31 | [217664/732000 (29.74%)] Loss 0.0036, Accuaracy 92.61%
Train Epoch 31 | [230464/732000 (31.48%)] Loss 0.0037, Accuaracy 92.54%
Train Epoch 31 | [243264/732000 (33.23%)] Loss 0.0037, Accuaracy 92.48%
Train Epoch 31 | [256064/732000 (34.98%)] Loss 0.0037, Accuaracy 92.45%
Train Epoch 31 | [268864/732000 (36.73%)] Loss 0.0037, Accuaracy 92.42%
Train Epoch 31 | [281664/732000 (38.48%)] Loss 0.0037, Accuaracy 92.43%
Train Epoch 31 | [294464/732000 (40.23%)] Loss 0.0037, Accuaracy 92.41%
Train Epoch 31 | [307264/732000 (41.98%)] Loss 0.0037, Accuaracy 92.40%
Train Epoch 31 | [320064/732000 (43.72%)] Loss 0.0037, Accuaracy 92.36%
Train Epoch 31 | [332864/732000 (45.47%)] Loss 0.0038, Accuaracy 92.34%
Train Epoch 31 | [345664/732000 (47.22%)] Loss 0.0038, Accuaracy 92.32%
Train Epoch 31 | [358464/732000 (48.97%)] Loss 0.0038, Accuaracy 92.28%
Train Epoch 31 | [371264/732000 (50.72%)] Loss 0.0038, Accuaracy 92.25%
Train Epoch 31 | [384064/732000 (52.47%)] Loss 0.0038, Accuaracy 92.23%
Train Epoch 31 | [396864/732000 (54.22%)] Loss 0.0038, Accuaracy 92.22%
Train Epoch 31 | [409664/732000 (55.97%)] Loss 0.0038, Accuaracy 92.21%
Train Epoch 31 | [422464/732000 (57.71%)] Loss 0.0038, Accuaracy 92.20%
Train Epoch 31 | [435264/732000 (59.46%)] Loss 0.0038, Accuaracy 92.19%
Train Epoch 31 | [448064/732000 (61.21%)] Loss 0.0038, Accuaracy 92.19%
Train Epoch 31 | [460864/732000 (62.96%)] Loss 0.0039, Accuaracy 92.17%
Train Epoch 31 | [473664/732000 (64.71%)] Loss 0.0039, Accuaracy 92.15%
Train Epoch 31 | [486464/732000 (66.46%)] Loss 0.0039, Accuaracy 92.12%
Train Epoch 31 | [499264/732000 (68.21%)] Loss 0.0039, Accuaracy 92.10%
Train Epoch 31 | [512064/732000 (69.95%)] Loss 0.0039, Accuaracy 92.08%
Train Epoch 31 | [524864/732000 (71.70%)] Loss 0.0039, Accuaracy 92.06%
Train Epoch 31 | [537664/732000 (73.45%)] Loss 0.0039, Accuaracy 92.03%
Train Epoch 31 | [550464/732000 (75.20%)] Loss 0.0039, Accuaracy 92.02%
Train Epoch 31 | [563264/732000 (76.95%)] Loss 0.0039, Accuaracy 92.01%
Train Epoch 31 | [576064/732000 (78.70%)] Loss 0.0039, Accuaracy 91.99%
